player,press,switch,intercepted,blocked
Lionel Messi,5,9,5,17
Neto,0,1,0,1
Gerard Piqué,1,13,1,2
Frenkie de Jong,6,9,6,7
Sergio Busquets,3,9,3,4
Sergi Roberto,1,1,1,11
Jordi Alba,5,6,5,14
Ansu Fati,5,0,5,7
Antoine Griezmann,0,0,0,5
Clément Lenglet,8,6,8,2
Philippe Coutinho,2,3,2,2
Pedri,5,2,5,3
Sergiño Dest,2,1,2,9
Ousmane Dembélé,3,0,3,2
Ronald Araújo,0,3,0,1
Francisco Trincão,3,1,3,8
Miralem Pjanić,0,0,0,4
Martin Braithwaite,0,0,0,0
Riqui Puig,1,1,1,0
