player,opponent,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,carries,prog_dis,dribble_attempt,dribble_suc
Riqui-Puig,Villarreal,N,RB,4,10,0,0.0,0.0,0,0,0,90.0,9,35,0,0
Riqui-Puig,Celta Vigo,N,DM,26,30,5,0.4,0.0,0,0,0,84.6,22,87,1,1
Riqui-Puig,Sevilla,N,AM,26,45,5,0.0,0.4,3,0,0,89.7,43,118,3,2
Riqui-Puig,Getafe,N,LW,25,45,6,0.1,0.1,3,0,0,94.9,38,53,3,1
