team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Rafinha\Rafinha,br BRA,MF,27,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Santiago Ramos\Santiago-Ramos,ar ARG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barcelona,Arnau Tenas\Arnau-Tenas,es ESP,GK,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,28,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Raphaël Varane\Raphael-Varane,fr FRA,DF,27,5,5,450,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Karim Benzema\Karim-Benzema,fr FRA,FW,32,5,5,446,1,1,0,0,0,0,0.20,0.20,0.40,0.20,0.40,2.6,2.6,0.7,0.53,0.15,0.68,0.53,0.68,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Sergio Ramos\Sergio-Ramos,es ESP,DF,34,5,5,405,1,0,1,1,1,0,0.22,0.00,0.22,0.00,0.00,1.8,1.1,0.2,0.41,0.04,0.45,0.24,0.28,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Luka Modrić\Luka-Modric,hr CRO,MF,34,5,4,338,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.03,0.07,0.10,0.03,0.10,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Casemiro\Casemiro,br BRA,MF,28,5,3,337,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.08,0.07,0.15,0.08,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Federico Valverde\Federico-Valverde,uy URU,MF,22,5,3,334,1,0,0,0,0,0,0.27,0.00,0.27,0.27,0.27,0.3,0.3,1.7,0.08,0.47,0.55,0.08,0.55,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Vinicius Júnior\Vinicius-Junior,br BRA,FW,20,4,3,280,2,0,0,0,0,0,0.64,0.00,0.64,0.64,0.64,2.2,2.2,0.1,0.69,0.02,0.71,0.69,0.71,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
