Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
,,,,,,,,,,,,,,,,,,,,,,,
2015,23,23,"2,025",,,0,0,,16,69.6,,,,,,,,,,,,,
2016,15,15,"1,350",,,0,0,,8,53.3,,,,,,,,,,,,,
2017,30,30,"2,677",19,0.64,85,71,.835,17,56.7,,,,,,,,,,,,,
2017-2018,14,14,"1,260",7,0.50,43,36,.837,8,57.1,,,,,,,,,,,,,
2018-2019,20,20,"1,800",12,0.60,63,53,.825,10,50.0,,,,,,,,,,,,,
2019-2020,21,21,"1,890",15,0.71,64,50,.781,8,38.1,,,,,,,,,,,,,
