Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2016-2017,1,1,90,1,1.00,4,3,.750,0,0.0,,,,,,,,,,,,,
2017-2018,22,22,"1,980",29,1.32,91,66,.714,3,13.6,,,,,,,,,,,,,
2018-2019,29,29,"2,610",41,1.41,133,101,.752,7,24.1,42.7,0.28,+3.7,+0.13,42.4,61.2,43.9,57.1,43.9,360,8.1,0.45,12.2
2019-2020,38,38,"3,420",51,1.34,186,139,.769,14,36.8,53.8,0.24,+2.8,+0.07,44.4,40.9,36.3,36.6,36.3,364,10.4,0.39,12.2
2020-2021,5,5,450,6,1.20,12,6,.500,1,20.0,3.6,0.30,-2.4,-0.48,27.9,38.5,36.0,35.2,36.0,25,8.0,1.00,14.4
