Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2014,11,11,990,,,0,0,,2,18.2,,,,,,,,,,,,,
2015,26,26,"2,266",,,0,0,,15,57.7,,,,,,,,,,,,,
2016,1,1,90,0,0.00,1,1,1.000,1,100.0,,,,,,,,,,,,,
2017-2018,37,37,"3,330",28,0.76,135,107,.815,17,45.9,38.9,0.26,+10.9,+0.29,55.3,35.7,35.2,45.3,35.2,306,8.2,1.32,17.5
2018-2019,38,38,"3,420",22,0.58,96,74,.771,21,55.3,26.8,0.28,+4.8,+0.13,49.7,27.0,32.4,46.3,32.4,278,7.9,0.97,16.6
2019-2020,29,29,"2,543",23,0.81,79,58,.722,13,44.8,22.6,0.28,+0.6,+0.02,54.1,24.9,31.7,38.8,31.7,197,8.1,1.31,17.5
2020-2021,6,6,540,7,1.17,14,8,.571,1,16.7,7.3,0.40,+0.3,+0.04,39.3,30.0,32.6,38.8,32.6,35,0.0,0.83,16.5
