Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2008-2009,1,1,90,2,2.00,4,2,.500,0,0.0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2010-2011,40,40,"3,600",39,0.97,134,95,.709,19,47.5,,,,,,,,,,,,,
2011-2012,37,37,"3,261",41,1.13,135,94,.696,15,40.5,,,,,,,,,,,,,
2012-2013,37,37,"3,330",29,0.78,120,91,.758,20,54.1,,,,,,,,,,,,,
2013-2014,37,37,"3,330",24,0.65,96,72,.750,20,54.1,,,,,,,,,,,,,
2014-2015,32,32,"2,813",30,0.96,103,73,.709,12,37.5,,,,,,,,,,,,,
2015-2016,23,23,"2,020",29,1.29,93,64,.688,5,21.7,,,,,,,,,,,,,
2016-2017,36,36,"3,240",28,0.78,99,71,.737,16,44.4,,,,,,,,,,,,,
2017-2018,35,35,"3,150",34,0.97,103,73,.689,15,42.9,31.2,0.30,-0.8,-0.02,35.6,34.2,36.3,56.8,36.3,318,12.3,0.51,15.1
2018-2019,27,27,"2,430",36,1.33,100,70,.700,8,29.6,32.5,0.29,-3.5,-0.13,38.1,31.0,34.4,45.7,34.4,188,10.1,0.41,14.2
2019-2020,34,34,"3,060",20,0.59,95,74,.789,18,52.9,22.8,0.24,+2.8,+0.08,28.9,26.1,33.0,40.3,33.0,285,8.8,0.65,14.8
2020-2021,9,9,810,10,1.11,26,20,.769,3,33.3,8.5,0.22,+0.5,+0.07,31.7,17.8,29.5,37.4,29.5,54,7.4,0.75,16.5
