Season,Game,Start,Minute,Against,Against90,Sot,Saves,Save %,Clean-sheet,Clean-sheet %,Psxg,Psnpxg,Net,Netper,Launch,Plaunch,Length,Gklength,Plengthave,Cross,CStop,Outside,Distance
2012-2013,2,2,180,2,1.00,7,5,.714,0,0.0,,,,,,,,,,,,,
2013-2014,18,17,"1,596",23,1.30,76,53,.697,4,23.5,,,,,,,,,,,,,
2014-2015,17,17,"1,530",18,1.06,65,47,.723,7,41.2,,,,,,,,,,,,,
2015-2016,10,10,890,4,0.40,18,14,.778,5,50.0,,,,,,,,,,,,,
2016-2017,27,27,"2,381",17,0.64,73,56,.781,12,44.4,,,,,,,,,,,,,
2017-2018,36,36,"3,194",26,0.73,79,54,.671,16,44.4,22.6,0.28,-2.4,-0.07,54.1,18.8,27.9,54.7,27.9,178,14.0,1.32,19.0
2018-2019,38,38,"3,420",23,0.61,76,57,.750,20,52.6,26.9,0.32,+3.9,+0.10,49.5,21.5,29.7,49.4,29.7,177,9.6,0.71,17.1
2019-2020,35,35,"3,071",28,0.82,92,65,.728,16,45.7,29.5,0.30,+2.5,+0.07,51.2,21.9,29.7,35.0,29.7,172,7.0,1.11,17.6
2020-2021,8,8,720,11,1.37,22,14,.682,2,25.0,9.7,0.29,-1.3,-0.16,47.2,23.6,31.8,53.2,31.8,45,6.7,1.13,17.6
