player,opponent,result,start,position,minute,touch,pressure,xg,xa,sca,gca,sot,pass_pct,pass_prog_dis,carries,dribble_prog_dis,dribble_attempt,dribble_suc
Riqui-Puig,Villarreal,W 4–0,N,RB,4,10,0,0.0,0.0,0,0,0,90.0,49,9,35,0,0
Riqui-Puig,Celta Vigo,W 3–0,N,DM,26,30,5,0.4,0.0,0,0,0,84.6,90,22,87,1,1
Riqui-Puig,Sevilla,D 1–1,N,AM,26,45,5,0.0,0.4,3,0,0,89.7,87,43,118,3,2
Riqui-Puig,Getafe,L 0–1,N,LW,25,45,6,0.1,0.1,3,0,0,94.9,87,38,53,3,1
